Family,Genus,Species,Author,Date,Citation,Common Name,Home Range,Island? Y/N,Area of Homerange kmsq,Reference for Area,
Pteropodidae,Nyctimene,cyclotis,K. Andersen,1910,Ann. Mag. Nat. Hist.,Round-eared Tube-nosed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Nyctimene,draconilla,Thomas,1922,Nova Guinea,Dragon Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Nyctimene,keasti,"Kitchener <i>in</i> Kitchener, Packer, and Maryanto",1993,Rec. West. Aust. Mus.,Keast's Tube-nosed Fruit Bat,Indonesia; Timor-Leste,yes,,,
Pteropodidae,Nyctimene,major,Dobson,1877,Proc. Zool. Soc. Lond.,Island Tube-nosed Fruit Bat,Papua New Guinea; Solomon Islands,yes,,,
Pteropodidae,Nyctimene,malaitensis,Phillips,1968,Univ. Kansas Publ. Mus. Nat. Hist.,Malaita Tube-nosed Fruit Bat,Solomon Islands,yes,,,
Pteropodidae,Nyctimene,masalai,Smith & Hood,1983,Occas. Pap. Mus. Texas Tech Univ.,Demonic Tube-nosed Fruit Bat,Papua New Guinea,yes,,,
Pteropodidae,Nyctimene,minutus,K. Andersen,1910,Ann. Mag. Nat. Hist.,Lesser Tube-nosed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Nyctimene,rabori,Heaney & Peterson,1984,Occas. Pap. Mus. Zool. Univ. Michigan,Philippine Tube-nosed Fruit Bat,Philippines,yes,,,
Pteropodidae,Nyctimene,robinsoni,Thomas,1904,Ann. Mag. Nat. Hist.,Queensland Tube-nosed Fruit Bat,Australia,no,,,
Pteropodidae,Nyctimene,sanctacrucis,Troughton,1931,Proc. Linn. Soc. N.S.W.,Nendo Tube-nosed Fruit Bat,Solomon Islands,yes,,,
Pteropodidae,Nyctimene,vizcaccia,Thomas,1914,Ann. Mag. Nat. Hist.,Umboi Tube-nosed Fruit Bat,"Papua New Guinea (North Solomons, Bismarck Archipelago); Solomon Islands",yes,,,
Pteropodidae,Nyctimene,wrightae,Irwin,2017,Rec. Aust. Mus.,Wright's Happy Tube-nosed Fruit Bat,,yes,,,
Pteropodidae,Otopteropus,cartilagonodus,Kock,1969,Senckenberg. Biol.,Luzon Fruit Bat,Philippines,yes,,,
Pteropodidae,Paranyctimene,raptor,Tate,1942,Am. Mus. Novitates,Unstriped Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Paranyctimene,tenax,Bergmans,2001,Beaufortia,Steadfast Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Penthetor,lucasi,Dobson,1880,Ann. Mag. Nat. Hist.,Lucas' Short-nosed Fruit Bat,Brunei Darussalam; Indonesia; Malaysia,yes,,,
Pteropodidae,Plerotes,anchietae,Seabra,1900,J. Sci. Math. Phys. Nat. Lisboa,Anchieta's Broad-faced Fruit Bat,"Angola; Congo, The Democratic Republic of the; Malawi; Zambia",no,,,
Pteropodidae,Ptenochirus,jagorii,Peters,1861,Monatsb. K. Preuss. Akad. Wiss. Berlin,Greater Musky Fruit Bat,Philippines,yes,,,
Pteropodidae,Ptenochirus,minor,Yoshiyuki,1979,"Bull. Natl. Sci. Mus. Tokyo, Ser. A (Zool.)",Lesser Musky Fruit Bat,"Philippines, Mindanao,",yes,,,
Pteropodidae,Ptenochirus,wetmorei,Taylor,1934,Monogr. Bur. Sci. Manila,Mindanao Fruit Bat,Philipinnes,yes,,,
Pteropodidae,Pteralopex,anceps,K. Andersen,1909,Ann. Mag. Nat. Hist.,Bougainville Monkey-faced Fruit Bat,"Papua New Guinea, Bougainville Isl.",yes,,,
Pteropodidae,Pteralopex,atrata,Thomas,1888,Ann. Mag. Nat. Hist.,Guadalcanal Monkey-faced Fruit Bat,"Solomon Isls, Guadalcanal, Aola",yes,,,
Pteropodidae,Pteralopex,flanneryi,Helgen,2005,Syst. Biodivers.,Flannery&apos;s Monkey-faced Fruit Bat,Papua New Guinea; Solomon Islands,yes,,,
Pteropodidae,Pteralopex,pulchra,Flannery,1991,Rec. Aust. Mus.,Montane Monkey-faced Fruit Bat,"Solomon Isls, Guadacanal",yes,,,
Pteropodidae,Pteralopex,taki,Parnaby,2002,Aust. Mammal.,New Georgian Monkey-faced Bat,"Solomon Isls, New Georgia Isl,",yes,,,
Pteropodidae,Pteropus,admiralitatum,Thomas,1894,Ann. Mag. Nat. Hist.,Admiralty Flying Fox,"Papua New Guinea, Bismarck Arch., Admiralty Isls.",yes,,,
Pteropodidae,Pteropus,aldabrensis,TRUE,1893,Proc. U.S. Natl. Mus.,Aldabra Flying Fox,"Seychelles, Aldabra Isl.",yes,,,
Pteropodidae,Pteropus,alecto,Temminck,1837,Monogr. Mamm.,Black Flying Fox,"Indonesia,Sulawesi, Menado",yes,,,
Pteropodidae,Pteropus,allenorum,"Helgen, Helgen & Wilson",2009,Am. Mus. Novitates,Allen&apos;s Flying Fox,Samoa,yes,,,
Pteropodidae,Pteropus,anetianus,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",Vanuatu Flying Fox,"Vanuatu, Aneiteum",yes,,,
Pteropodidae,Pteropus,aruensis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Aru Flying Fox,"Indonesia, Aru Isls",yes,,,
Pteropodidae,Pteropus,brunneus,Dobson,1878,Cat. Chiroptera Brit. Mus.,Dusky Flying Fox,"Australia, Queensland, Percy Isl",no,,,
Pteropodidae,Pteropus,caniceps,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",North Moluccan Flying Fox,"Indonesia, Maluku, Halmahera, Batjan",yes,,,
Pteropodidae,Pteropus,capistratus,Peters,1876,Monatsb. K. Preuss. Akad. Wiss. Berlin,Bismark Masked Flying Fox,Papua New Guinea,yes,,,
Pteropodidae,Pteropus,chrysoproctus,Temminck,1837,Monogr. Mamm.,Moluccan Flying Fox,"Indonesia, Maluku, Ambon",yes,,,
Pteropodidae,Pteropus,cognatus,K. Andersen,1908,Ann. Mag. Nat. Hist.,Makira Flying Fox,"Solomon Isl, Makira",yes,,,
Pteropodidae,Pteropus,conspicillatus,Gould,1850,Proc. Zool. Soc. Lond.,Spectacled Flying Fox,"Australia, Queensland, Fitzroy Isl",yes,,,
Pteropodidae,Pteropus,coxi,"Helgen, Helgen & Wilson",2009,Am. Mus. Novitates,Cox&apos;s Flying Fox,Samoa,yes,,,
Pteropodidae,Pteropus,dasymallus,Temminck,1825,Monogr. Mamm.,Ryukyu Flying Fox,"Japan, Ryukyu Isls, Kuchinoerabu Isl",yes,,,
Pteropodidae,Pteropus,ennisae,Flannery & White,1991,Natl. Geo. Res. Exp.,Island Flying Fox,Papua New Guinea,yes,,,
Pteropodidae,Pteropus,faunulus,Miller,1902,Proc. U.S. Natl. Mus.,Nicobar Flying Fox,"India, Nicobar Isls, Car Nicobar Isl",yes,,,
Pteropodidae,Pteropus,fundatus,Felten and Kock,1972,Senckenberg. Biol.,Banks Flying Fox,"Vanuatu, Banks Isls, Mota Isl",yes,,,
Pteropodidae,Pteropus,gilliardorum,Van Deusen,1969,Am. Mus. Novitates,Gilliard's Flying Fox,"Papua New Guinea, Bismarck Arch.",yes,,,
Pteropodidae,Pteropus,griseus,E. Geoffroy,1810,Ann. Mus. Natn. Hist. Nat. Paris,Gray Flying Fox,"Indonesia, Lesser Sunda Isls, Timor",yes,,,
Pteropodidae,Pteropus,howensis,Troughton,1931,Proc. Linn. Soc. N.S.W.,Ontong Java Flying Fox,"Solomon Isls, Ontong Java Isl",yes,,,
Pteropodidae,Pteropus,hypomelanus,Temminck,1853,Esquisses Zool. sur la C&ocirc;te de Guine,Variable Flying Fox,"Indonesia, Molucca Isls, Ternate Isl",yes,,,
Pteropodidae,Pteropus,intermedius,K. Andersen,1908,Ann. Mag. Nat. Hist.,Andersen's Flying Fox,Burma,no,,,
Pteropodidae,Pteropus,keyensis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Kei Flying Fox,Indonesia,yes,,,
Pteropodidae,Pteropus,livingstonii,Gray,1866,Proc. Zool. Soc. Lond.,Comoro Flying Fox,"Comoro Isls, Anjouan Isl",yes,,,
Pteropodidae,Pteropus,lombocensis,Dobson,1878,Cat. Chiroptera Brit. Mus.,Lombok Flying Fox,"Indonesia, Lesser Sunda Isls, Lombok Isl.",yes,,,
Pteropodidae,Pteropus,loochoensis,Gray,1870,"Cat. Monkeys, Lemurs and Fruit-eating Bats, British Museum",Japanese Flying Fox,"Japan, Okinawa",yes,,,
Pteropodidae,Pteropus,lylei,K. Andersen,1908,Ann. Mag. Nat. Hist.,Lyle's Flying Fox,"Thailand, Bangkok",yes,,,
Pteropodidae,Pteropus,macrotis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Big-eared Flying Fox,"Solomon Isls, Ysabel Isl, Tunnibul",yes,,,
Pteropodidae,Pteropus,mahaganus,Sanborn,1931,"Field Mus. Nat. Hist. Publ., Zool. Ser.",Sanborn's Flying Fox,Papua New Guinea; Solomon Islands,yes,,,
Pteropodidae,Pteropus,mariannus,Desmarest,1822,"Mammalogie, in Encycl. M&eacute;th.",Marianas Flying Fox,"West Pacific, Mariana Isls, Guam (USA)",yes,,,
Pteropodidae,Pteropus,medius,Temminck,1825,Monogr. Mamm.,Indian Flying Fox,,no,,,
Pteropodidae,Pteropus,melanopogon,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Black-bearded Flying Fox,"Indonesia, Molucca Isls, Amboina",yes,,,
Pteropodidae,Pteropus,melanotus,Blyth,1863,Cat. Mamm. Mus. Asiat. Soc. Calcutta,Black-eared Flying Fox,"India, Nicobar Isls",no,,,
Pteropodidae,Pteropus,molossinus,Temminck,1853,Esquisses Zool. sur la C&ocirc;te de Guine,Caroline Flying Fox,"Caroline Isls, Micronesia",yes,,,
Pteropodidae,Pteropus,neohibernicus,Peters,1876,Monatsb. K. Preuss. Akad. Wiss. Berlin,Great Flying Fox,"Papua New Guinea, Bismarck Arch., New Ireland Isl.",yes,,,
Pteropodidae,Pteropus,niger,Kerr,1792,"In Linnaeus, Anim. Kingdom",Greater Mascarene Flying Fox,"Mascarene Isls, Réunion Isl",yes,,,
Pteropodidae,Pteropus,nitendiensis,Sanborn,1930,Am. Mus. Novitates,Temotu Flying Fox,"Solomon Isls, Santa Cruz Isls, Ndeni Isl",yes,,,
Pteropodidae,Pteropus,ocularis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Seram Flying Fox,"Indonesia, Molucca Isls, Seram Isl",yes,,,
Pteropodidae,Pteropus,ornatus,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",Ornate Flying Fox,"New Caledonia, Noumea",yes,,,
Pteropodidae,Pteropus,pelagicus,Kittlitz,1836,Observation Zoologiques faites pendant l'expedition de la corvette Le Seniavine,Seaside Flying Fox,,yes,,,
Pteropodidae,Pteropus,pelewensis,K. Andersen,1908,Ann. Mag. Nat. Hist.,Pelew Flying Fox,"Micronesia, Caroline Isls, Palau Isls",yes,,,
Pteropodidae,Pteropus,personatus,Temminck,1825,Monogr. Mamm.,Moluccan Masked Flying Fox,"Indonesia, Molucca Isls, Ternate",yes,,,
Pteropodidae,Pteropus,pilosus,K. Andersen,1908,Ann. Mag. Nat. Hist.,Large Pelew Flying Fox,"Micronesia, Caroline Isls, Palau Isls",yes,,,
Pteropodidae,Pteropus,pohlei,Stein,1933,Z. S&auml;ugetierk.,Geelvink Bay Flying Fox,"Indonesia, West Papua, Tjenderawasih Div., Yapen Isl.",yes,,,
Pteropodidae,Pteropus,poliocephalus,Temminck,1825,Monogr. Mamm.,Gray-headed Flying Fox,Australia,no,,,
Pteropodidae,Pteropus,pselaphon,Lay,1829,Zool. J.,Bonin Flying Fox,"Japan, Bonin Isls",yes,,,
Pteropodidae,Pteropus,pumilus,Miller,1911,Proc. U.S. Natl. Mus.,Little Golden-mantled Flying Fox,"Indonesia, Miangas Isl",yes,,,
Pteropodidae,Pteropus,rayneri,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",Solomons Flying Fox,"Solomon Isls, Guadalcanal Isl.",yes,,,
Pteropodidae,Pteropus,rennelli,Troughton,1929,Rec. Aust. Mus.,Rennell Flying Fox,"Solomon Isls, Rennell Isl",yes,,,
Pteropodidae,Pteropus,rodricensis,Dobson,1878,Cat. Chiroptera Brit. Mus.,Rodrigues Flying Fox,"Mascarene Isls, Rodrigues.",yes,,,
Pteropodidae,Pteropus,rufus,E. Geoffroy,1803,Cat. Mamm. Mus. Nat. Hist. Nat. Paris,Malagasy Flying Fox,Madagascar,yes,,,
Pteropodidae,Pteropus,samoensis,Peale,1848,Mammalia in Repts. U.S. Expl. Surv.,Samoan Flying Fox,"Samoan Isls, Tutuila Isl",yes,,,
Pteropodidae,Pteropus,scapulatus,Peters,1862,Monatsb. K. Preuss. Akad. Wiss. Berlin,Little Red Flying Fox,"Australia, Queensland, Cape York.",no,,,
Pteropodidae,Pteropus,seychellensis,Milne-Edwards,1877,"Bull. Sci. Soc. Philom. Paris, ser. 7",Seychelles Flying Fox,"Seychelle Isls, Mahe Isl.",yes,,,
Pteropodidae,Pteropus,speciosus,K. Andersen,1908,Ann. Mag. Nat. Hist.,Philippine Gray Flying Fox,"Philippines, Malanipa Isl",yes,,,
Pteropodidae,Pteropus,subniger,Kerr,1792,"In Linnaeus, Anim. Kingdom",Dark Flying Fox,"Mascarene Isls, Réunion Isl",yes,,,
Pteropodidae,Pteropus,temminckii,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Temminck's Flying Fox,"Indonesia, Molucca Isls, Amboina Isl",yes,,,
Pteropodidae,Pteropus,tokudae,Tate,1934,Am. Mus. Novitates,Guam Flying Fox,"Mariana Isls, Guam (USA)",yes,,,
Pteropodidae,Pteropus,tonganus,Quoy and Gaimard,1830,"In d'Urville, Voy...de Astrolabe, Zool.",Pacific Flying Fox,"Tonga Isls, Tongatapu Isl.",yes,,,
Pteropodidae,Pteropus,tuberculatus,Peters,1869,Monatsb. K. Preuss. Akad. Wiss. Berlin,Vanikoro Flying Fox,"Solomon Isls, Santa Cruz Isls, Vanikoro Isl.",yes,,,
Pteropodidae,Pteropus,ualanus,Peters,1883,Ges. Nat. Fr.,Kosrae Flying Fox,"Kosrae, Micronesia",yes,,,
Pteropodidae,Pteropus,vampyrus,Linnaeus,1758,"Syst. Nat., 10th ed.",Large Flying Fox,"Indonesia, Java",yes,,,
Pteropodidae,Pteropus,vetula,Jouan,1863,Mem. Soc. Imp. Sci. Nat. Cherbourg,New Caledonian Flying Fox,New Caledonia,yes,,,
Pteropodidae,Pteropus,voeltzkowi,Matschie,1909,Sitzb. Ges. Naturf. Fr. Berlin,Pemba Flying Fox,"Tanzania, Pemba Isl, Fufuni.",yes,,,
Pteropodidae,Pteropus,woodfordi,Thomas,1888,Ann. Mag. Nat. Hist.,Dwarf Flying Fox,"Solomon Isls, Guadalcanal Isl, Aola",yes,,,
Pteropodidae,Rousettus,aegyptiacus,E. Geoffroy,1810,Ann. Mus. Natn. Hist. Nat. Paris,Egyptian Rousette,"Egypt, Giza",no,,,
Pteropodidae,Rousettus,amplexicaudatus,E. Geoffroy,1810,Ann. Mus. Natn. Hist. Nat. Paris,Geoffroy's Rousette,"Cambodia, Thailand, Burma, Laos, Peninsular, Malaysia, Indonesia, Java, Bali, Philippines, New Guinea, Bismarck Archipelago, Solomon.",no,,,
Pteropodidae,Rousettus,celebensis,K. Andersen,1907,Ann. Mag. Nat. Hist.,Sulawesi Rousette,"Sulawesi; Mangole, Sanana, Indonesia.",yes,,,
Pteropodidae,Rousettus,leschenaultii,Desmarest,1820,"Mammalogie, in Encyclop. M&eacute;thod.",Leschenault's Rousette,"Sri Lanka, Pakistan,Vietnam, China, Peninsular Malaysia, Sumatra, Java, Bali, and Indonesia.",no,,,
Pteropodidae,Rousettus,linduensis,Maryanto and Yani,2003,Mamm. Study,Linduan Rousette,Indonesia,yes,,,
Pteropodidae,Rousettus,obliviosus,Kock,1978,Proc. 4th Int. Bat Res. Conf. Nairobi,Comoro Rousette,Comorian Archipelago,yes,,,
Pteropodidae,Rousettus,spinalatus,Bergmans and Hill,1980,Bull. Brit. Mus. Nat. Hist. Zool.,Bare-backed Rousette,Malaya,yes,,,
Pteropodidae,Rousettus,madagascariensis,G. Grandidier,1928,"Bull. Acad. Malgache, N.S.",Malagasy Rousette,Madagascar,yes,,,
Pteropodidae,Scotonycteris,bergmansi,"Hassanin, Khouider, Gembu, Goodman, Kadjo, Nesi, Pourrut, Nakoun&eacute; & Bonillo",2015,C. R. Biol.,Bergmans' Fruit Bat,Congo Democratic republic,no,,,
Pteropodidae,Scotonycteris,occidentalis,Hayman,1947,Ann. Mag. Nat. Hist.,Hayman's Tear-drop Fruit Bat,New Zealand,yes,,,
Pteropodidae,Scotonycteris,zenkeri,Matschie,1894,Sitzb. Ges. Naturf. Fr. Berlin,Zenker's Fruit Bat,Cameroun,no,,,
Pteropodidae,Sphaerias,blanfordi,Thomas,1891,Ann. Mus. Civ. Stor. Nat. Genova,Blanford's Fruit Bat,"Tibet, India, Butan",no,,,
Pteropodidae,Stenonycteris,lanosus,Thomas,1906,Ann. Mag. Nat. Hist.,Long-haired Rousette,Kenya,no,,,
Pteropodidae,Styloctenium,mindorensis,Esselstyn,2007,J. Mammal.,Mindoro Stripe-faced Fruit Bat,Indonesia,yes,,,
Pteropodidae,Styloctenium,wallacei,Gray,1866,Proc. Zool. Soc. Lond.,Stripe-faced Fruit Bat,Indonesia,yes,,,
Pteropodidae,Syconycteris,australis,Peters,1867,Monatsb. K. Preuss. Akad. Wiss. Berlin,Southern Blossom Bat,Papua New Guinea,yes,,,
Pteropodidae,Syconycteris,carolinae,Rozendaal,1984,Zool. Med. Leiden,Halmaheran Blossom Bat,Indonesia,yes,,,
Pteropodidae,Syconycteris,hobbit,Ziegler,1982,Occas. Pap. Bernice P. Bishop Mus.,Moss-forest Blossom Bat,Papua New Guinea,no,,,
Pteropodidae,Thoopterus,nigrescens,Gray,1870,"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",Swift Fruit Bat,Indonesia,yes,,,
Pteropodidae,Thoopterus,suhaniahae,"Maryanto, Yani, Prijono & Wiantoro",2012,Rec. West. Aust. Mus.,Suhaniah&apos;s Fruit Bat,Indonesia,yes,,,