 ,Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,Adult_tibia_length_CI_m,sample_size_tibia,reference-tibia,Adult_ear_length_mm,Adult_ear_length_CI_mm,sample_size_ear,reference-ear-length,Adult_forearm_length_mm,Adult_forearm_length_CI_mm,sample_size_forearm,reference-forearm
Santino,Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,Male,12,5,"ibnu Maryanto, 2003
",NA,12.65,NA,5,"ibnu Maryanto, 2003
",7.29,NA,5,"ibnu Maryanto, 2003
",40.15,NA,5,"ibnu Maryanto, 2003
"
Santino,Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,Female,12.21,7,"ibnu Maryanto, 2003
",NA,12.59,NA,7,"ibnu Maryanto, 2003
",7.13,NA,7,"ibnu Maryanto, 2003
",39.21,NA,7,"ibnu Maryanto, 2003
"
Santino,Chiroptera,Pteropodidae,Chironax,melanocephalus,Chironax melanocephalus,NA,19.5,1,Hasan et al 2012,NA,NA,NA,1,Hasan et al 2012,14.9,NA,1,Hasan et al 2012,47.6,NA,1,Hasan et al 2012
Santino,Chiroptera,Pteropodidae,Casinycteris,argynnis,Casinycteris argynnis,Female,31.5,2,Van Cakenberghe et al 1995,NA,24.1,NA,2,Van Cakenberghe et al 1995,18.8,NA,2,Van Cakenberghe et al 1995,58.75,NA,2,Van Cakenberghe et al 1995
Santino,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,NA,30.1 -62,6,Huang et al 2014,,22.5-26.7,NA,6,Huang et al 2014,16.1-18.1,NA,6,Huang et al 2014,66.4-69.5,NA,6,Huang et al 2014
Santino,Chiroptera,Pteropodidae,Cynopterus,horsfieldii,Cynopterus horsfieldii,NA,57.9,31,Campbell et al 2007,NA,27.4,NA,27,Campbell et al 2007,NA,NA,NA,NA,73.24,NA,27,Campbell et al 2007
Santino,Chiroptera,Pteropodidae,Cynopterus,luzoniensis,Cynopterus luzoniensis,NA,NA,23,Mudar & Allen 1986,NA,NA,NA,23,Mudar & Allen 1986,17.2,NA,23,Mudar & Allen 1986,65.1,NA,23,Mudar & Allen 1986
Santino,Chiroptera,Pteropodidae,Cynopterus,minutus,Cynopterus minutus,NA,45 - 50,5,Rasanleleh et al 2020,NA,NA,NA,5,Rasanleleh et al 2020,12.5 - 14,NA,5,Rasanleleh et al 2020,55,NA,5,Rasanleleh et al 2020
Santino,Chiroptera,Pteropodidae,Cynopterus,nusatenggara,Cynopterus nusatenggara,NA,31.1,NA,Kitchener&Maharadatunkamsi_1996,NA,23.9,NA,NA,Kitchener&Maharadatunkamsi_1996,15.2,NA,NA,Kitchener&Maharadatunkamsi_1996,60.2,NA,NA,Kitchener&Maharadatunkamsi_1996
Santino,Chiroptera,Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,NA,47,31,Campbell et al 2007,NA,26.96,NA,23,Campbell et al 2007,18 - 20.5,NA,38,Huang et al 2014,68.65,NA,23,Campbell et al 2007
Santino,Chiroptera,Pteropodidae,Cynopterus,titthaecheilus,Cynopterus titthaecheilus,NA,NA,NA,Kitchener&Foley_1985,NA,"30,7 - 34.7",NA,NA,Kitchener&Foley_1985,18.8 - 19.2,NA,NA,Kitchener&Foley_1985,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dobsonia,anderseni,Dobsonia anderseni,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,Male,156,1,Yohanita _et_al_2010,NA,45.32,NA,17,Yohanita _et_al_2010,25.45,NA,17,Yohanita _et_al_2010,106.4,NA,1,Bergmans&Sarbini_1985
Santino,Chiroptera,Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,Female,140,1,Yohanita _et_al_2010,NA,43.03,NA,28,Yohanita _et_al_2010,26.17,NA,28,Yohanita _et_al_2010,107.9,NA,1,Bergmans&Sarbini_1985
Santino,Chiroptera,Pteropodidae,Dobsonia,chapmani,Dobsonia chapmani,Female,140.5,2,,NA,NA,NA,NA,NA,265.5,NA,2,Pangutalan_et_al_2004,128.4,NA,2,Pangutalan_et_al_2004
Santino,Chiroptera,Pteropodidae,Dobsonia,crenulata,Dobsonia crenulata,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dobsonia,emersa,Dobsonia emersa,Male,195.25,4,Yohanita _et_al_2010,NA,49.25,NA,4,Yohanita _et_al_2010,28.75,NA,4,Yohanita _et_al_2010,115.5,NA,4,Yohanita _et_al_2010
Santino,Chiroptera,Pteropodidae,Dobsonia,exoleta,Dobsonia exoleta,NA,282.21-320,NA,,NA,NA,NA,NA,NA,25-26.66,NA,NA,Rasanleleh et al 2020,110-116.67,NA,NA,Rasanleleh et al 2020
Santino,Chiroptera,Pteropodidae,Dobsonia,inermis,Dobsonia inermis,Male,150,3,Bhatnagar_et_al_1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.4,NA,4,Bergmans_1975
Santino,Chiroptera,Pteropodidae,Dobsonia,inermis,Dobsonia inermis,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,AN,NA,NA,105.7,NA,3,Bergmans_1975
Santino,Chiroptera,Pteropodidae,Dobsonia,magna,Dobsonia magna,Male,352.78,23,Yohanita _et_al_2010,NA,63.42,NA,23,Yohanita _et_al_2010,29.47,NA,23,Yohanita _et_al_2010,146.65,NA,23,Yohanita _et_al_2010
Santino,Chiroptera,Pteropodidae,Dobsonia,magna,Dobsonia magna,Female,344.86,28,Yohanita _et_al_2010,NA,64.44,NA,28,Yohanita _et_al_2010,30.31,NA,28,Yohanita _et_al_2010,147.04,NA,28,Yohanita _et_al_2010
Santino,Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,Male,63.73,34,Yohanita _et_al_2010,NA,28.91,NA,34,Yohanita _et_al_2010,20.68,NA,34,Yohanita _et_al_2010,77.45,NA,34,Yohanita _et_al_2010
Santino,Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,Female,74.95,33,Yohanita _et_al_2010,NA,30.96,NA,33,Yohanita _et_al_2010,20.02,NA,33,Yohanita _et_al_2010,82.59,NA,33,Yohanita _et_al_2010
Santino,Chiroptera,Pteropodidae,Dobsonia,moluccensis,Dobsonia moluccensis,Male,465,1,Bhatnagar_et_al_1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dobsonia,pannietensis,Dobsonia pannietensis,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.8,NA,3,Bergmans_1979
Santino,Chiroptera,Pteropodidae,Dobsonia,pannietensis,Dobsonia pannietensis,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.8,NA,5,Bergmans_1979
Santino,Chiroptera,Pteropodidae,Dobsonia,peronii,Dobsonia peronii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dobsonia,praedatrix,Dobsonia praedatrix,Male,198,2,Bhatnagar_et_al_1989,NA,26.25,NA,2,Bhatnagar_et_al_1989,25,NA,2,Bhatnagar_et_al_1989,113.5,NA,2,Bhatnagar_et_al_1989
Santino,Chiroptera,Pteropodidae,Dobsonia,praedatrix,Dobsonia praedatrix,Female,169.6,5,Bhatnagar_et_al_1989,NA,24.9,NA,5,Bhatnagar_et_al_1989,24.5,NA,5,Bhatnagar_et_al_1989,111.1,NA,5,Bhatnagar_et_al_1989
Santino,Chiroptera,Pteropodidae,Dobsonia,viridis,Dobsonia viridis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Dyacopterus,brooksi,Dyacopterus brooksi,NA,88.5,2,"Helgen_et_al_2007
",NA,29.3,NA,3,"Helgen_et_al_2007
",20.3,NA,3,"Helgen_et_al_2007
",81.8,NA,3,"Helgen_et_al_2007
"
Santino,Chiroptera,Pteropodidae,Dyacopterus,spadiceus,Dyacopterus spadiceus,NA,84.2,9,"Helgen_et_al_2007
",NA,29,NA,15,"Helgen_et_al_2007
",19.4,NA,12,"Helgen_et_al_2007
",78.3,NA,21,"Helgen_et_al_2007
"
Santino,Chiroptera,Pteropodidae,Eidolon,dupreanum,Eidolon dupreanum,Male,320.1,,Brook et al 2020,,62.11,,,Brook et al 2020,28.9,,,Brook et al 2020,129.1,,,Brook et al 202
Santino,Chiroptera,Pteropodidae,Eidolon,dupreanum,Eidolon dupreanum,Female,308.8,,Brook et al 2020,,61.47,,,Brook et al 2020,28.24,,,Brook et al 2020,129.3,,,Brook et al 202
Santino,Chiroptera,Pteropodidae,Eidolon,helvum,Eidolon helvum,NA,270.7,1407,Peel et al 2017,,NA,NA,NA,NA,NA,NA,NA,NA,120.8,NA,1372,Peel et al 2017
Santino,Chiroptera,Pteropodidae,Eonycteris,major,Eonycteris major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santino,Chiroptera,Pteropodidae,Eonycteris,robusta,Eonycteris robusta,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,3,Heanay&Rabor_1982,71.3,NA,NA,Heanay&Rabor_1982
Cara,Chiroptera,Pteropodidae,Eonycteris,spelaea,Eonycteris spelaea,both,58.7,,,60,38,SD: 2.44,3,Nameer et al 2016,19.3,SD: .32,3,Nameer et al 2016,75,SD: 2.41,3,Nameer et al 2016
Cara,Chiroptera,Pteropodidae,Epomophorus,angolensis,Epomophorus angolensis,M,NA,,,NA,,,,,,,,,88.42,,,Bergmans 1988
Cara,Chiroptera,Pteropodidae,Epomophorus,angolensis,Epomophorus angolensis,F,,,,,,,,,,,,,83.34,,,Bergmans 1988
Cara,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,both,95.04,,,NA,,,,,,,,,84.65,SD: 1.51,6,Bergmans and van Strien 2004
Cara,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,both,,,,,,,,,23.5,range: 19-28,,Patterson and Webala 2012,81.7,range: 75-88.4,,Patterson and Webala 2012
Cara,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,M,134.59,,,NA,37,,,,,,,,90,,,Boulay and Robbins 1989
Cara,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,F,134.59,,,,34.5,,,,,,,,84.9,,,Boulay and Robbins 1989
Cara,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,both,134.59,,,,37.1,range: 30-42,35,Happold and Happold 1978,22.5,range: 19-28,35,Happold and Happold 1978,85.4,range: 75-97,35,Happold and Happold 1978
Cara,Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,M,49.42,,,NA,28,,,Bergmans 1988,17.4,,Bergmans 1988,,62.55,,,Boulay and Robbins 1989
Cara,Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,F,49.42,,,,28.2,,,Bergmans 1988,16,,Bergmans 1988,,65.8,,,Boulay and Robbins 1989
Cara,Chiroptera,Pteropodidae,Epomophorus,labiatus,Epomophorus labiatus,M,69.65,,,NA,,,,,,,,,67.49090909,range: 66.7-80.3,145,Bergmans 1988
Cara,Chiroptera,Pteropodidae,Epomophorus,labiatus,Epomophorus labiatus,F,69.65,,,,,,,,,,,,70.4875,range: 64.8-78.3,108,Bergmans 1988
Cara,Chiroptera,Pteropodidae,Epomophorus,labiatus,Epomophorus labiatus,both,69.65,,,,,,,,19,range: 17-21,Patterson and Webala 2012,,,,,
Tim,Chiroptera,Pteropodidae,Epomophorus,minimus,Epomophorus minimus,F,37,2,Benda et al 2019,NA,,,,,17.5,range: 16-19,2,Benda et al 2019,62.5,range: 60-65,2,Benda et al 2019
Tim,Chiroptera,Pteropodidae,Epomophorus,minor,Epomophorus minor,M,44.76,,,NA,,,,,,,,,61.71666667,range: 57-66.4,36,Bergmans 1988
Tim,Chiroptera,Pteropodidae,Epomophorus,minor,Epomophorus minor,F,44.76,,,NA,,,,,,,,,60.79444444,range: 58.3-64.2,18,Bergmans 1988
Tim,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,M,116.7,3,Rollinson_etal_2013,NA,,,,,22.3,NA,1,Bergmans 1978,83,SD: 0.0,3,Rollinson_etal_2013
Tim,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,F,92.6,5,Rollinson_etal_2013,NA,34.3,range: 34.1-34.5,2,Bergmans 1978,22.9,range: 22.8-23.1,4,Bergmans 1978,80.3,SD: 4.0,5,Rollinson_etal_2013
Tim,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,M,100.2,6,Rollinson_etal_2013,NA,,,,,,,,,79.8,SD: 2.1,6,Rollinson_etal_2013
Tim,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,F,92.8,4,Rollinson_etal_2013,NA,,,,,,,,,79.6,SD: 3.3,4,Rollinson_etal_2013
Tim,Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,,135.67,,,NA,,,,,,,,,,,,
Tim,Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,M,170,3,Bergmans 1975,NA,,,,,,,,,97.6,range: 92.9-102.2,51,Bergmans 1975
Tim,Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,F,,,Bergmans 1975,NA,,,,,,,,,91.55,range: 84.4-96.2,49,Bergmans 1975
Tim,Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,both,,,,NA,35.25,range: 27.6-42.9,18,Denys et al 2013,23.5,range: 19-28,18,Denys et al 2013,89.25,range: 79.9-98.6,18,Denys et al 2013
Tim,Chiroptera,Pteropodidae,Epomops,dobsonii,Epomops dobsonii,,122.08,,,NA,,,,,,,,,87.75,85-90.5,,Bergmans 1979 (via Bergmans 1983)
Cara,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,both,118.99,,,NA,34.2,range: 32-37,21,Happold and Happold 1978,21.6,range: 19-25,21,Happold and Happold 1978,85.8,range: 82-91,21,Happold and Happold 1978
Tim,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Haplonycteris fischeri,,18.25,,,120,,,,,12.35,range: 12.2-12.5,2,Sedlock et al 2014,47.2,range: 46.4-48,2,Sedlock et al 2014
Tim,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,F,116.77,,,NA,30,,1,Tate 1951,,,,,90,,1,Tate 1951
Tim,Chiroptera,Pteropodidae,Harpyionycteris,whiteheadi,Harpyionycteris whiteheadi,,135.48,,,NA,,,,,17,,1,Thomas 1896,84,,1,Thomas 1896
Tim,Chiroptera,Pteropodidae,Latidens,salimalii,Latidens salimalii,M,77.5,16,Agoramoorthy & Hsu 2005,NA,,,,,,,,,69.38,1.54,16,Agoramoorthy & Hsu 2005
Tim,Chiroptera,Pteropodidae,Latidens,salimalii,Latidens salimalii,F,69.58,19,Agoramoorthy & Hsu 2005,NA,,,,,,,,,68.95,2.2,19,Agoramoorthy & Hsu 2005
Tim,Chiroptera,Pteropodidae,Hypsignathus,monstrosus,Hypsignathus monstrosus,,336.97,,,NA,,,,,,,,,,,,
Tim,Chiroptera,Pteropodidae,Hypsignathus,monstrosus,Hypsignathus monstrosus,M,339,,Langevin & Barclay 1990,NA,57,range: 54.0-60.0,,Langevin & Barclay 1990,32,,,Langevin & Barclay 1990,130,range: 120-140,,Langevin & Barclay 1990
Tim,Chiroptera,Pteropodidae,Hypsignathus,monstrosus,Hypsignathus monstrosus,F,297.5,,Langevin & Barclay 1990,NA,53.5,range: 52.0-55.0,,Langevin & Barclay 1990,27,,,Langevin & Barclay 1990,123,range: 118-128,,Langevin & Barclay 1990
Tim,Chiroptera,Pteropodidae,Megaerops,kusnotoi,Megaerops kusnotoi,both,NA,,,NA,20.63,SD: 1.4,11,Maharadatunkamsi & Maryanto 2002,13.05,1.56,11,Maharadatunkamsi & Maryanto 2002,51.51,SD: 2.32,11,Maharadatunkamsi & Maryanto 2002
Tim,Chiroptera,Pteropodidae,Megaerops,niphanae,Megaerops niphanae,M,32.59,,,NA,23.9,,1,Islam et al 2015,16,,1,Islam et al 2015,58.3,,1,Islam et al 2015
Tim,Chiroptera,Pteropodidae,Megaerops,wetmorei,Megaerops wetmorei,,18.7,,,NA,18.61,SD: 0.94,10,Maharadatunkamsi & Maryanto 2002,10.71,SD: 1.18,10,Maharadatunkamsi & Maryanto 2002,47.58,SD: 1.77,10,Maharadatunkamsi & Maryanto 2002
Tim,Chiroptera,Pteropodidae,Megaloglossus,woermanni,Megaloglossus woermanni,both,16.71,,,NA,17.7,range: 16-19,13,Happold and Happold 1978,13.7,range: 13-14,11,Happold and Happold 1978,87.78666667,range: 38.6-49.4,180,Bergmans 1997
Tim,Chiroptera,Pteropodidae,Lissonycteris,angolensis,Lissonycteris angolensis,both,68.31,,,NA,32.6,range: 29-37,21,Happold and Happold 1978,17.9,range: 15-22,21,Happold and Happold 1978,73.5,range: 66-81,21,Happold and Happold 1978
Tim,Chiroptera,Pteropodidae,Macroglossus,minimus,Macroglossus minimus,,16.3,,,NA,17.68,range: 16.4-18.4,5,Kinjo et al 2003,13.96666667,range: 14-14.4,6,Kinjo et al 2003,43.41538462,range: 41.9-45.6,13,Kinjo et al 2003
Tim,Chiroptera,Pteropodidae,Macroglossus,sobrinus,Macroglossus sobrinus,,21.8,,,NA,18.99,SD: 0.57,6,Qing et al 2007,14.24,SD: 0.63,6,Qing et al 2007,48.84,SD: 1.47,6,Qing et al 2007
Tim,Chiroptera,Pteropodidae,Megaerops,ecaudatus,Megaerops ecaudatus,,26.29,,,NA,20.8,range: 20.6-21,4,Kumaran et al 2006,14.7,range: 12.9-16.1,4,Kumaran et al 2006,52.7,range: 51.9-53.4,4,Kumaran et al 2006
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,,,NA,,,,,,,,,61.2,SD: 3.35,3,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,,,NA,,,,,,,,,57.8,SD: 1.11,5,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,,,NA,,,,,,,,,60.7,SD: 0.07,2,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,,,NA,,,,,,,,,57.4,SD: 0.45,3,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,,,NA,,,,,,,,,55.1,SD: 1.43,6,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,,,NA,,,,,,,,,53.5,SD: 1.42,4,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,,,NA,,,,,,,,,56.9,SD: 1.60,6,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,,,NA,,,,,,,,,55.6,SD: 2.51,3,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,melanops,Melonycteris melanops,M,47.59,,,NA,,,,,,,,,61.34,range: 54.7-63.6,5,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,melanops,Melonycteris melanops,F,47.59,,,NA,,,,,,,,,61.32,range: 59-63,5,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,woodfordi,Melonycteris woodfordi,,36.2,,,NA,,,,,,,,,54.2,SD: 2.11,29,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,woodfordi,Melonycteris woodfordi,,36.2,,,NA,,,,,,,,,55.2,SD: 2.46,14,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,woodfordi,Melonycteris woodfordi,,36.2,,,NA,,,,,,,,,59.2,SD: 1.48,4,Flannery 1993
Tim,Chiroptera,Pteropodidae,Melonycteris,woodfordi,Melonycteris woodfordi,,36.2,,,NA,,,,,12.7,range: 11.5-14,5,Phillips 1966,59.6,SD: 1.27,10,Flannery 1993
Tim,Chiroptera,Pteropodidae,Micropteropus,intermedius,Micropteropus intermedius,M,NA,,,NA,23.7,NA,1,Bergmans 1989,14.8,NA,1,Bergmans 1989,58.1,NA,1,Bergmans 1989
Tim,Chiroptera,Pteropodidae,Micropteropus,intermedius,Micropteropus intermedius,F,NA,,,NA,26,NA,1,Bergmans 1989,17.4,NA,1,Bergmans 1989,63.6,NA,1,Bergmans 1989
Tim,Chiroptera,Pteropodidae,Micropteropus,intermedius,Micropteropus intermedius,F,NA,,,NA,25,NA,1,Kock 1987 (as reported in Bergmans 1989),14.3,NA,1,Kock 1987 (as reported in Bergmans 1989),58.3,NA,1,Kock 1987 (as reported in Bergmans 1989)
