 ,Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,Adult_tibia_length_CI_m,sample_size_tibia,reference-tibia,Adult_ear_length_mm,Adult_ear_length_CI_mm,sample_size_ear,reference-ear-length,Adult_forearm_length_mm,Adult_forearm_length_CI_mm,sample_size_forearm,reference-forearm
Sarah,Chiroptera,Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,F,84.88,,,NA,35.08,4.779,6,Shahbaz et al. 2020,16,3.098,6,Shahbaz et al. 2020,75.33,7.062,6,Shahbaz et al. 2020
Sarah,Chiroptera,Pteropodidae,Rousettus,linduensis,Rousettus linduensis,not_specified,NA,,,NA,36.8,NA,4,Maryanto 2003,18.55,NA,4,Maryanto 2003,76.73,NA,4,Maryanto 2003
Sarah,Chiroptera,Pteropodidae,Rousettus,madagascariensis,Rousettus madagascariensis,65.72,NA,,,,,,,,,,,,,,,
Sarah,Chiroptera,Pteropodidae,Rousettus,obliviosus,Rousettus obliviosus,,45.32,,,NA,NA,NA,NA,NA,13.5,NA,74,Reason et al. 1994,74.1,NA,74,Reason et al. 1994: https://www.semanticscholar.org/paper/Some-observations-on-the-Comoro-rousette-Rousettus-Reason-Trewhella/a55cd72caba373a84ee3dfe494e27f833b2d344d
Sarah,Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,M,92.32,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,NA,1,Maryanto 2003
Sarah,Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,F,92.32,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.95,NA,3,Maryanto 2003
Sarah,Chiroptera,Pteropodidae,Scotonycteris,ophiodon,Scotonycteris ophiodon,M,69.42,,,NA,,,,Bergmans 1990,21.8,NA,4,Bergmans 1990,76.4166667,NA,6,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Scotonycteris,ophiodon,Scotonycteris ophiodon,F,69.42,,,NA,,,,Bergmans 1990,22.4333333,NA,6,Bergmans 1990,78.4714286,NA,7,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,M,21.3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,NA,13,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,F,21.3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,NA,10,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,16.48,NA,7,Tingga and Abdullah 2012,10.4,NA,7,Tingga and Abdullah 2012,43.68,NA,7,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,14.66,NA,4,Tingga and Abdullah 2012,10.87,NA,4,Tingga and Abdullah 2012,43.15,NA,4,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,15.28,NA,2,Tingga and Abdullah 2012,10.36,NA,2,Tingga and Abdullah 2012,38.11,NA,2,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,15.57,NA,3,Tingga and Abdullah 2012,NA,NA,NA,Tingga and Abdullah 2012,43.53,NA,3,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,15.48,NA,6,Tingga and Abdullah 2012,NA,NA,NA,Tingga and Abdullah 2012,42.92,NA,6,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,15.12,NA,7,Tingga and Abdullah 2012,10.26,NA,7,Tingga and Abdullah 2012,44.05,NA,7,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,15.82,NA,16,Tingga and Abdullah 2012,10.72,NA,16,Tingga and Abdullah 2012,43.76,NA,16,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,16,NA,1,Tingga and Abdullah 2012,12,NA,1,Tingga and Abdullah 2012,44,NA,1,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,16.1,NA,2,Tingga and Abdullah 2012,10.5,NA,2,Tingga and Abdullah 2012,45.85,NA,2,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,13.79,NA,4,Tingga and Abdullah 2012,10.74,NA,4,Tingga and Abdullah 2012,44.37,NA,4,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,14.77,NA,8,Tingga and Abdullah 2012,11.24,NA,8,Tingga and Abdullah 2012,44.12,NA,8,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,7.49,NA,6,Tingga and Abdullah 2012,9.74,NA,6,Tingga and Abdullah 2012,43.86,NA,6,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,"2 M, 3 F",15,,,NA,14.61,NA,5,Ramji 2009,13,10.11,5,Ramji 2009,43.13,NA,5,Ramji 2009
Sarah,Chiroptera,Pteropodidae,Sphaerias,blanfordi,Sphaerias blanfordi,not_specified,28.88,,,NA,20.38,1.25,,Feng et al. 2008: https://www.researchgate.net/publication/292559213_Subspecies_differentiation_for_Blanford'_s_fruit_bat_Sphaerias_blanfordi_Pteropodidae_Chiroptera_in_southern_Asia,18.5,1.12,25,Feng et al. 2008: https://www.researchgate.net/publication/292559213_Subspecies_differentiation_for_Blanford'_s_fruit_bat_Sphaerias_blanfordi_Pteropodidae_Chiroptera_in_southern_Asia,53.53,1.97,25,Feng et al. 2008: https://www.researchgate.net/publication/292559213_Subspecies_differentiation_for_Blanford'_s_fruit_bat_Sphaerias_blanfordi_Pteropodidae_Chiroptera_in_southern_Asia
Sarah,Chiroptera,Pteropodidae,Styloctenium,wallacei,Styloctenium wallacei,not_specified,172.42,,,NA,NA,NA,NA,Ransaleleh et al. 2020,23,NA,2,Ransaleleh et al. 2020,105,NA,2,Ransaleleh et al. 2020
Sarah,Chiroptera,Pteropodidae,Syconycteris,australis,Syconycteris australis,not_specified,17.6,,,NA,16.9,NA,80,Kitchener et al. 1994],15.8,NA,80,Kitchener et al. 1994],42.6,NA,80,Kitchener et al. 1994]
Sarah,Chiroptera,Pteropodidae,Syconycteris,carolinae,Syconycteris carolinae,M,39.67,,,NA,23,NA,23,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",15.2,NA,23,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",58.4,NA,22,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false"
Sarah,Chiroptera,Pteropodidae,Syconycteris,carolinae,Syconycteris carolinae,F,39.67,,,NA,22.6,NA,22,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",15.1,NA,22,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",58.4,NA,23,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false"
Sarah,Chiroptera,Pteropodidae,Syconycteris,hobbit,Syconycteris hobbit,F,20.06,,,NA,NA,NA,NA,NA,12,NA,1,Ziegler 1982,50,NA,1,Ziegler 1982
Sarah,Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,M,384.84,,,NA,58.9,NA,1,Tsang 2015,33.34,NA,1,Tsang 2015,143,NA,1,Tsang 2015
Sarah,Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,F,384.84,,,NA,58.005,NA,2,Tsang 2015,30.575,NA,2,Tsang 2015,135,NA,2,Tsang 2015
Sarah,Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,,NA,,,NA,,,,,,,,,,,,
Sarah,Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,M,1087.04,,,NA,NA,NA,NA,NA,33,NA,1,Mudar and Allen1986,190,NA,1,Mudar and Allen1986
Sarah,Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,,NA,,,NA,,,,,,,,,,,,
Sarah,Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,not_specified,467.93,,,NA,NA,NA,NA,NA,33,NA,10,Goodwin 1979,143,NA,10,Goodwin 1979
Sarah,Chiroptera,Pteropodidae,Alionycteris,paucidentata,Alionycteris paucidentata,,16.24,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.65,NA,7,Nowak 1994. Walker's bats of the World. https://books.google.com/books?id=OmkObkVIJ0EC&pg=PA78&lpg=PA78&dq=Alionycteris+paucidentata+and+%22forearm+length%22&source=bl&ots=NDYJYnowkZ&sig=ACfU3U1lTcY0HmocVErK78z1eIp_iW5K8g&hl=en&sa=X&ved=2ahUKEwjf1tfT_P7tAhWVv54KHd9NCFAQ6AEwDXoECBEQAg#v=onepage&q=Alionycteris%20paucidentata%20and%20%22forearm%20length%22&f=false
Sarah,Chiroptera,Pteropodidae,Aproteles,bulmerae,Aproteles bulmerae,not_specified,623.91,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.7,NA,2,Flannery and Seri 1993: https://animaldiversity.org/accounts/Aproteles_bulmerae/#53AB88C0-52F8-11E3-B105-002500F14F28
Sarah,Chiroptera,Pteropodidae,Thoopterus,nigrescens,Thoopterus nigrescens,F,66.12,,,NA,30.5,0.8,3,Wiantoro et al. 2016,15.9,2.5,3,Wiantoro et al. 2016,73.7,3.3,3,Wiantoro et al. 2016
Fifi,Chiroptera,Pteropodidae,Pteropus,brunneus,Pteropus brunneus,M,200,,,NA,NA,NA,,,NA,NA,,,118,NA,NA,"Condor, 2008"
Fifi,Chiroptera,Pteropodidae,Pteropus,caniceps,Pteropus caniceps,M,525.12,,,NA,NA,NA,,,NA,NA,,,138.3,NA,NA,"Bergmans, 2001"
Fifi,Chiroptera,Pteropodidae,Pteropus,caniceps,Pteropus caniceps,F,525.12,,,NA,NA,NA,,,NA,NA,,,129.5,NA,NA,"Bergmans, 2001"
Fifi,Chiroptera,Pteropodidae,Pteropus,capistratus,Pteropus capistratus,NA,NA,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Ptenochirus,jagori,Ptenochirus jagori,NA,79.18,,,96,NA,NA,,,18-20,NA,NA,"Domingo and Buenavista, 2018",82-84,NA,NA,"Domingo and Buenavista, 2018"
Fifi,Chiroptera,Pteropodidae,Ptenochirus,minor,Ptenochirus minor,NA,47.02,,,NA,NA,NA,,,13,NA,NA,"Domingo and Buenavista, 2018",69,NA,NA,"Domingo and Buenavista, 2018"
Fifi,Chiroptera,Pteropodidae,Pteralopex,acrodonta,Pteralopex acrodonta,M,258,,,NA,NA,NA,,,18.3,NA,16,"Parnaby, 2002",127.2,NA,14,"Parnaby, 2002"
Fifi,Chiroptera,Pteropodidae,Pteralopex,acrodonta,Pteralopex acrodonta,F,222,,,NA,NA,NA,,,18.2,NA,16,"Parnaby, 2002",111.2,NA,14,"Parnaby, 2002"
Fifi,Chiroptera,Pteropodidae,Pteralopex,anceps,Pteralopex anceps,NA,574.75,,,NA,NA,NA,,,23.8,5.09,,"Helgen, 2005",154.5,35.71,,"Helgen, 2005"
Fifi,Chiroptera,Pteropodidae,Pteralopex,anceps,Pteralopex anceps,M and F,NA,,,NA,NA,NA,,,NA,NA,,,161.64,26.34,12,"Parnaby, 2002"
Fifi,Chiroptera,Pteropodidae,Pteralopex,atrata,Pteralopex atrata,NA,490.8,,,NA,NA,NA,,,NA,6.27,NA,"Helgen, 2005",137.4,20.34,NA,"Helgen, 2005"
Fifi,Chiroptera,Pteropodidae,Pteralopex,atrata,Pteralopex atrata,M and F,NA,,,NA,NA,NA,,,NA,NA,,,141.68,11.4,10,"Parnaby, 2002"
Fifi,Chiroptera,Pteropodidae,Pteralopex,pulchra,Pteralopex pulchra,F,280,,,NA,NA,NA,NA,,NA,NA,NA,"Parnaby, 2002",117.9,NA,NA,"Parnaby, 2002"
Fifi,Chiroptera,Pteropodidae,Pteralopex,taki,Pteralopex taki,F,NA,,,NA,NA,NA,NA,,15.67,3.33,NA,"Parnaby, 2002",118.8,12.11,NA,"Parnaby, 2002"
Fifi,Chiroptera,Pteropodidae,Pteropus,chrysoproctus,Pteropus chrysoproctus,M,730.19,,,NA,NA,NA,,,,,,,166,NA,NA,"Bergmans, 2001"
Fifi,Chiroptera,Pteropodidae,Pteropus,chrysoproctus,Pteropus chrysoproctus,F,730.19,,,NA,NA,NA,,,,,,,170,NA,NA,"Bergmans, 2001"
Fifi,Chiroptera,Pteropodidae,Pteropus,cognatus,Pteropus cognatus,NA,NA,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Pteropus,conspicillatus,Pteropus conspicillatus,M,760.71,,,NA,NA,NA,,,29,NA,NA,"Bergmans, 2001",163-185,NA,NA,"Bergmans, 2001"
Fifi,Chiroptera,Pteropodidae,Pteropus,conspicillatus,Pteropus conspicillatus,F,760.71,,,NA,NA,NA,,,29,NA,NA,"Bergmans, 2001",155-174,NA,NA,"Bergmans, 2001"
Fifi,Chiroptera,Pteropodidae,Pteropus,conspicillatus,Pteropus conspicillatus,NA,760.71,,,NA,NA,NA,,,,,,,179,NA,NA,"Kompanje and Meliker, 2001"
Fifi,Chiroptera,Pteropodidae,Pteropus,dasymallus,Pteropus dasymallus,NA,491.86,,,372,NA,NA,,,NA,NA,,,135,NA,NA,Vincenot et al. 2016
Fifi,Chiroptera,Pteropodidae,Pteropus,faunulus,Pteropus faunulus,NA,NA,,,NA,NA,NA,,,~ 22.0,NA,,Srinivasulu et al. 2010,110-116,NA,,Srinivasulu et al. 2010
Fifi,Chiroptera,Pteropodidae,Pteropus,fundatus,Pteropus fundatus,NA,210.67,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Pteropus,giganteus,Pteropus giganteus,NA,824.85,,,376.8,NA,NA,,,NA,NA,,,168.4,NA,NA,Singaravelan et al. 2009
Fifi,Chiroptera,Pteropodidae,Pteropus,giganteus,Pteropus giganteus,NA,125,,,376.8,77,NA,11,Rajeshkumar et al. 2013,25,NA,11,Rajeshkumar et al. 2013,162,NA,11,Rajeshkumar et al. 2013
Fifi,Chiroptera,Pteropodidae,Pteropus,giganteus,Pteropus giganteus,M and F,NA,,,376.8,70,2.36,3 M and 1 F,Shil et al. 2013,,,,,,,,
Fifi,Chiroptera,Pteropodidae,Pteropus,giganteus,Pteropus giganteus,M,NA,,,376.8,69.65,18.5,4,Kumar et al. 2016,35.1,5.09,4,Kumar et al. 2016,150.66,12.07,4,Kumar et al. 2016
Fifi,Chiroptera,Pteropodidae,Pteropus,gilliardorum,Pteropus gilliardorum,NA,406.94,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Pteropus,griseus,Pteropus griseus,M,311.15,,,NA,NA,NA,,,24.13,12.17,13,"Sheherazade and Tsang, 2018",126.6,17.32,13,"Sheherazade and Tsang, 2018"
Fifi,Chiroptera,Pteropodidae,Pteropus,griseus,Pteropus griseus,F,269.75,,,NA,NA,NA,,,23.5,1.99,4,"Sheherazade and Tsang, 2019",125.63,12.72,4,"Sheherazade and Tsang, 2018"
Fifi,Chiroptera,Pteropodidae,Rousettus,aegyptiacus,Rousettus aegyptiacus,NA,134,,,274.8,42,9.4,7,Karatas et al. 2003,24,6.67,8,Karatas et al. 2003,90,19.2,11,Karatas et al. 2003
Fifi,Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,NA,74.37,,,NA,NA,NA,,,18-21,NA,NA,Domingo and Buenavista 2018,80-87,NA,NA,"Domingo and Buenavista, 2018"
Fifi,Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,M,80,,,NA,NA,NA,,,NA,NA,,,81.55,NA,12,"Bergmans and Rozendaal, 1988"
Fifi,Chiroptera,Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,F,50-70,,,NA,NA,NA,,,NA,NA,,,79.35,NA,9,"Bergmans and Rozendaal, 1988"
Fifi,Chiroptera,Pteropodidae,Pteropus,howensis,Pteropus howensis,NA,232.92,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Pteropus,hypomelanus,Pteropus hypomelanus,NA,435.61,,,NA,NA,NA,,,NA,NA,,,110-116,NA,NA,Srinivasulu et al. 2010
Fifi,Chiroptera,Pteropodidae,Pteropus,insularis,Pteropus insularis,NA,NA,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Plerotes,anchietae,Plerotes anchietae,F,NA,,,NA,NA,NA,,,NA,NA,,,53,NA,1,"Harrison, 1960"
Fifi,Chiroptera,Pteropodidae,Plerotes,anchietae,Plerotes anchietae,M,NA,,,NA,20.2,NA,NA,Kock et al. 1998,17.8,NA,NA,Kock et al. 1998,50.6,NA,NA,Kock et al. 1998
Fifi,Chiroptera,Pteropodidae,Pteropus,intermedius,Pteropus intermedius,NA,NA,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Pteropus,keyensis,Pteropus keyensis,NA,NA,,,NA,NA,NA,,,NA,NA,,,NA,NA,,
Fifi,Chiroptera,Pteropodidae,Pteropus,leucopterus,Pteropus leucopterus,M,343.81,,,NA,,,,,26.58,NA,4,Van Weerd et al. 2002,139.48,NA,4,Van Weerd et al. 2002
Fifi,Chiroptera,Pteropodidae,Pteropus,leucopterus,Pteropus leucopterus,F,343.81,,,NA,,,,,23,NA,1,Van Weerd et al. 2002,157,NA,1,Van Weerd et al. 2002
Fifi,Chiroptera,Pteropodidae,Pteropus,livingstonii,Pteropus livingstonii,M,734.27,,,NA,NA,NA,,,NA,NA,,,601.5,NA,21,Smith and Leslie Jr. 2006
Fifi,Chiroptera,Pteropodidae,Pteropus,livingstonii,Pteropus livingstonii,F,734.27,,,NA,NA,NA,,,NA,NA,,,168.3,NA,2,Smith and Leslie Jr. 2006
Fifi,Chiroptera,Pteropodidae,Pteropus,lombocensis,Pteropus lombocensis lombocensis,NA,256.15,,,NA,52.5,5.09,11,"Kitchener and Maharadatunkams, 1995",26.8,2.74,11,"Kitchener and Maharadatunkams, 1995",117.4,10.19,11,"Kitchener and Maharadatunkams, 1995"
Fifi,Chiroptera,Pteropodidae,Pteropus,lombocensis,Pteropus lombocensis heudei,NA,,,,,51.2,9.01,18,"Kitchener and Maharadatunkams, 1995",27.5,3.92,18,"Kitchener and Maharadatunkams, 1995",114.6,16.86,18,"Kitchener and Maharadatunkams, 1995"
Fifi,Chiroptera,Pteropodidae,Pteropus,loochoensis,Pteropus loochoensis,NA,NA,,,NA,NA,NA,,,NA,NA,,,NA,NA,,