Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,sample_size_tibia,reference.tibia,Adult_ear_length_mm,sample_size_ear,reference.ear.length,Adult_forearm_length_mm,sample_size_forearm,reference.forearm
Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,M,12,5,Maryanto 2003,NA,12.65,5,"Maryanto 2003
",7.29,5,"Maryanto 2003
",40.15,5,"Maryanto 2003
"
Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,F,12.21,7,"Maryanto 2003
",NA,12.59,7,"Maryanto 2003
",7.13,7,"Maryanto 2003
",39.21,7,"Maryanto 2003
"
Chiroptera,Pteropodidae,Casinycteris,argynnis,Casinycteris argynnis,F,31.5,2,Van Cakenberghe et al. 1999,NA,24.1,2,Van Cakenberghe et al. 1999,18.8,2,Van Cakenberghe et al. 1999,58.75,2,Van Cakenberghe et al. 1999
Chiroptera,Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,M,156,1,Yohanita et al. 2010,NA,45.32,17,Yohanita et al. 2010,25.45,17,Yohanita et al. 2010,106.4,1,Bergmans and Sarbini 1985
Chiroptera,Pteropodidae,Dobsonia,beauforti,Dobsonia beauforti,F,140,1,Yohanita et al. 2010,NA,43.03,28,Yohanita et al. 2010,26.17,28,Yohanita et al. 2010,107.9,1,Bergmans and Sarbini 1985
Chiroptera,Pteropodidae,Dobsonia,chapmani,Dobsonia chapmani,F,140.5,2,Paguntalan et al 2004,NA,NA,NA,NA,26.5,3,Paguntalan et al 2004,128.4,2,Paguntalan et al 2004
Chiroptera,Pteropodidae,Dobsonia,emersa,Dobsonia emersa,M,195.25,4,Yohanita et al. 2010,NA,49.25,4,Yohanita et al. 2010,28.75,4,Yohanita et al. 2010,115.5,4,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,inermis,Dobsonia inermis,M,150,3,Bhatnagar et al 1990,NA,NA,NA,NA,NA,NA,NA,107.4,4,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,inermis,Dobsonia inermis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.7,3,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,magna,Dobsonia magna,M,352.78,23,Yohanita et al. 2010,NA,63.42,23,Yohanita et al. 2010,29.47,23,Yohanita et al. 2010,146.65,23,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,magna,Dobsonia magna,F,344.86,28,Yohanita et al. 2010,NA,64.44,28,Yohanita et al. 2010,30.31,28,Yohanita et al. 2010,147.04,28,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,M,63.73,34,Yohanita et al. 2010,NA,28.91,34,Yohanita et al. 2010,20.68,34,Yohanita et al. 2010,77.45,34,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,minor,Dobsonia minor,F,74.95,33,Yohanita et al. 2010,NA,30.96,33,Yohanita et al. 2010,20.02,33,Yohanita et al. 2010,82.59,33,Yohanita et al. 2010
Chiroptera,Pteropodidae,Dobsonia,moluccensis,Dobsonia moluccensis,M,465,1,Bhatnagar et al 1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Dobsonia,pannietensis,Dobsonia pannietensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.8,3,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,pannietensis,Dobsonia pannietensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.8,5,Bergmans 1979
Chiroptera,Pteropodidae,Dobsonia,praedatrix,Dobsonia praedatrix,M,198,2,Bhatnagar et al 1990,NA,26.25,2,Bhatnagar et al 1990,25,2,Bhatnagar et al 1990,113.5,2,Bhatnagar et al 1990
Chiroptera,Pteropodidae,Dobsonia,praedatrix,Dobsonia praedatrix,F,169.6,5,Bhatnagar et al 1990,NA,24.9,5,Bhatnagar et al 1990,24.5,5,Bhatnagar et al 1990,111.1,5,Bhatnagar et al 1990
Chiroptera,Pteropodidae,Eidolon,dupreanum,Eidolon dupreanum,M,320.3695,,Brook et al 2019,NA,62.11,,Brook et al 2019,28.10755,NA,Brook et al 2019,128.91446,,Brook et al 2019
Chiroptera,Pteropodidae,Eidolon,dupreanum,Eidolon dupreanum,F,310.91038,,Brook et al 2019,NA,61.47,,Brook et al 2019,28.17631,NA,Brook et al 2019,129.1382,,Brook et al 2019
Chiroptera,Pteropodidae,Epomophorus,angolensis,Epomophorus angolensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.42,,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,angolensis,Epomophorus angolensis,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.34,,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,M,134.59,1,Boulay and Robbins 1989,NA,37,1,Boulay and Robbins 1989,,1,NA,90,1,Boulay and Robbins 1989
Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,F,134.59,1,Boulay and Robbins 1989,NA,34.5,1,Boulay and Robbins 1989,,1,NA,84.9,1,Boulay and Robbins 1989
Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,M,49.42,NA,Bergmans 1988,NA,28,NA,Bergmans 1988,17.4,NA,Bergmans 1988,62.55,,Boulay and Robbins 1989
Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,F,49.42,NA,Bergmans 1988,NA,28.2,NA,Bergmans 1988,16,NA,Bergmans 1988,65.8,,Boulay and Robbins 1989
Chiroptera,Pteropodidae,Epomophorus,labiatus,Epomophorus labiatus,M,69.65,NA,Bergmans 1988,NA,NA,NA,NA,NA,NA,NA,67.49090909,145,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,labiatus,Epomophorus labiatus,F,69.65,NA,Bergmans 1988,NA,NA,NA,NA,NA,NA,NA,70.4875,108,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,minimus,Epomophorus minimus,F,37,2,Benda et al 2019,NA,NA,NA,NA,17.5,2,Benda et al 2019,62.5,2,Benda et al 2019
Chiroptera,Pteropodidae,Epomophorus,minor,Epomophorus minor,M,44.76,NA,Bergmans 1988,NA,NA,NA,NA,NA,NA,NA,61.71666667,36,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,minor,Epomophorus minor,F,44.76,NA,Bergmans 1988,NA,NA,NA,NA,NA,NA,NA,60.79444444,18,Bergmans 1988
Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,M,116.7,3,Rollinson et al. 2013,NA,NA,NA,NA,22.3,1,Bergmans 1979,83,3,Rollinson et al. 2013
Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,F,92.6,5,Rollinson et al. 2013,NA,34.3,2,Bergmans 1979,22.9,4,Bergmans 1979,80.3,5,Rollinson et al. 2013
Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,M,100.2,6,Rollinson et al. 2013,NA,NA,NA,NA,NA,NA,NA,79.8,6,Rollinson et al. 2013
Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,F,92.8,4,Rollinson et al. 2013,NA,NA,NA,NA,NA,NA,NA,79.6,4,Rollinson et al. 2013
Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,M,170,3,Bergmans 1975,NA,NA,NA,NA,NA,NA,NA,97.6,51,Bergmans 1975
Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.55,49,Bergmans 1975
Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,F,116.77,NA,Tate 1951,NA,30,1,Tate 1951,NA,NA,NA,90,1,Tate 1951
Chiroptera,Pteropodidae,Latidens,salimalii,Latidens salimalii,M,77.5,16,Agoramoorthy and Hsu 2005,NA,NA,NA,NA,NA,NA,NA,69.38,16,Agoramoorthy and Hsu 2005
Chiroptera,Pteropodidae,Latidens,salimalii,Latidens salimalii,F,69.58,19,Agoramoorthy and Hsu 2005,NA,NA,NA,NA,NA,NA,NA,68.95,19,Agoramoorthy and Hsu 2005
Chiroptera,Pteropodidae,Hypsignathus,monstrosus,Hypsignathus monstrosus,M,339,,Langevin and Barclay 1990,NA,57,,Langevin and Barclay 1990,32,,Langevin and Barclay 1990,130,,Langevin and Barclay 1990
Chiroptera,Pteropodidae,Hypsignathus,monstrosus,Hypsignathus monstrosus,F,297.5,,Langevin and Barclay 1990,NA,53.5,,Langevin and Barclay 1990,27,,Langevin and Barclay 1990,123,,Langevin and Barclay 1990
Chiroptera,Pteropodidae,Megaerops,niphanae,Megaerops niphanae,M,32.59,,Islam et al. 2015,NA,23.9,1,Islam et al. 2015,16,1,Islam et al. 2015,58.3,1,Islam et al. 2015
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.2,3,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,5,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7,2,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4,3,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,6,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,4,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,6,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,fardoulisi,Melonycteris fardoulisi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,3,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,melanops,Melonycteris melanops,M,47.59,NA,Flannery 1993,NA,NA,NA,NA,NA,NA,NA,61.34,5,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,melanops,Melonycteris melanops,F,47.59,NA,Flannery 1993,NA,NA,NA,NA,NA,NA,NA,61.32,5,Flannery 1993
Chiroptera,Pteropodidae,Micropteropus,intermedius,Micropteropus intermedius,M,NA,NA,NA,NA,23.7,1,Bergmans 1989,14.8,1,Bergmans 1989,58.1,1,Bergmans 1989
Chiroptera,Pteropodidae,Micropteropus,intermedius,Micropteropus intermedius,F,NA,NA,NA,NA,26,1,Bergmans 1989,17.4,1,Bergmans 1989,63.6,1,Bergmans 1989
Chiroptera,Pteropodidae,Micropteropus,intermedius,Micropteropus intermedius,F,NA,NA,NA,NA,25,1,Bergmans 1989,14.3,1,Bergmans 1989,58.3,1,Bergmans 1989
Chiroptera,Pteropodidae,Myonycteris,relicta,Myonycteris relicta,M,53.32,NA,Bergmans 1980,NA,26.7,1,Bergmans 1980,22,1,Bergmans 1980,69.3,1,Bergmans 1980
Chiroptera,Pteropodidae,Myonycteris,relicta,Myonycteris relicta,F,53.32,NA,Bergmans 1980,NA,29.3,1,Bergmans 1980,20,1,Bergmans 1980,75.1,1,Bergmans 1980
Chiroptera,Pteropodidae,Myonycteris,torquata,Myonycteris torquata,M,44.92,NA,Bergmans 1976,NA,22.7,3,Bergmans 1976,16.3,4,Bergmans 1976,60.2,15,Bergmans 1976
Chiroptera,Pteropodidae,Myonycteris,torquata,Myonycteris torquata,F,44.92,NA,Bergmans 1976,NA,NA,NA,Bergmans 1976,18.3,8,Bergmans 1976,60.7,38,Bergmans 1976
Chiroptera,Pteropodidae,Nanonycteris,veldkampii,Nanonycteris veldkampii,M,21.89,NA,Kangoye et al. 2012,NA,67.3,8,Kangoye et al. 2015,16.3,8,Kangoye et al. 2015,46.7,42,Kangoye et al. 2012
Chiroptera,Pteropodidae,Nanonycteris,veldkampii,Nanonycteris veldkampii,F,21.89,NA,Kangoye et al. 2012,NA,72,2,Kangoye et al. 2015,16.6,2,Kangoye et al. 2015,52.65,2,Kangoye et al. 2012
Chiroptera,Pteropodidae,Neopteryx,frosti,Neopteryx frosti,F,230,NA,Ransaleleh et al. 2020,NA,45,1,Bergmans and Rozendaal 1988,19.3,2,Bergmans and Rozendaal 1988,110,NA,Ransaleleh et al. 2020
Chiroptera,Pteropodidae,Neopteryx,frosti,Neopteryx frosti,M,230,NA,Ransaleleh et al. 2020,NA,40.7,2,Bergmans and Rozendaal 1988,18.6,2,Bergmans and Rozendaal 1988,100.5,2,Bergmans and Rozendaal 1988
Chiroptera,Pteropodidae,Notopteris,macdonaldii,Notopteris macdonaldii,M,68.17,NA,Trouessart 1910,NA,35,NA,Trouessart 1910,14,NA,Trouessart 1910,67.1,76,Trouessart 1910
Chiroptera,Pteropodidae,Notopteris,macdonaldii,Notopteris macdonaldii,F,68.17,NA,Trouessart 1910,NA,35,NA,Trouessart 1910,14,NA,Trouessart 1910,64.9,48,Trouessart 1910
Chiroptera,Pteropodidae,Nyctimene,malaitensis,Nyctimene malaitensis,F,78.39,NA,Curnow et al. 1968,NA,NA,NA,NA,14,1,Curnow et al. 1968,65,1,Curnow et al. 1968
Chiroptera,Pteropodidae,Nyctimene,rabori,Nyctimene rabori,M,68.25,NA,Heaney and Peterson 1984,NA,NA,NA,NA,19.5,13,Heaney and Peterson 1984,75.5,13,Heaney and Peterson 1984
Chiroptera,Pteropodidae,Nyctimene,rabori,Nyctimene rabori,F,68.25,NA,Heaney and Peterson 1984,NA,NA,NA,NA,20,9,Heaney and Peterson 1984,76.7,9,Heaney and Peterson 1984
Chiroptera,Pteropodidae,Paranyctimene,raptor,Paranyctimene raptor,M,24.94,NA,Bergmans 2001,NA,18.6,1,Bergmans 2001,11,1,Bergmans 2001,53.4,1,Bergmans 2001
Chiroptera,Pteropodidae,Paranyctimene,raptor,Paranyctimene raptor,F,24.94,NA,Bergmans 2001,NA,19,2,Bergmans 2001,12.15,2,Bergmans 2001,48.75,2,Bergmans 2001
Chiroptera,Pteropodidae,Paranyctimene,tenax,Paranyctimene tenax,M,25.5,1,Bergmans 2001,NA,19.9,6,Bergmans 2001,12.2,6,Bergmans 2001,52.9,6,Bergmans 2001
Chiroptera,Pteropodidae,Paranyctimene,tenax,Paranyctimene tenax,F,NA,NA,Bergmans 2001,NA,22.6,2,Bergmans 2001,11.35,2,Bergmans 2001,54.15,2,Bergmans 2001
Chiroptera,Pteropodidae,Penthetor,lucasi,Penthetor lucasi,M,35.39,NA,Rahman and Abdullah 2012,NA,29,32,Rahman and Abdullah 2012,14.72,32,Rahman and Abdullah 2012,60.64333333,32,Rahman and Abdullah 2012
Chiroptera,Pteropodidae,Penthetor,lucasi,Penthetor lucasi,F,35.39,NA,Rahman and Abdullah 2012,NA,28.55666667,38,Rahman and Abdullah 2012,14.75333333,38,Rahman and Abdullah 2012,60.72,38,Rahman and Abdullah 2012
Chiroptera,Pteropodidae,Pteropus,admiralitatum,Pteropus admiralitatum,M,306.46,NA,Tate 1934,NA,NA,NA,NA,NA,NA,NA,108,1,Tate 1934
Chiroptera,Pteropodidae,Pteropus,admiralitatum,Pteropus admiralitatum,F,306.46,NA,Tate 1934,NA,NA,NA,NA,NA,NA,NA,110.5,2,Tate 1934
Chiroptera,Pteropodidae,Pteropus,aldabrensis,Pteropus aldabrensis,M,310.29,NA,Bergmans 1990,NA,NA,NA,NA,NA,NA,NA,137.3,7,Bergmans 1990
Chiroptera,Pteropodidae,Pteropus,aldabrensis,Pteropus aldabrensis,F,310.29,NA,Bergmans 1990,NA,NA,NA,NA,32.5,not_specified,Hill et al. 1971,133.75,2,Bergmans 1990
Chiroptera,Pteropodidae,Pteropus,aruensis,Pteropus aruensis,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,1,Bergmans 2001
Chiroptera,Pteropodidae,Pteropus,lylei,Pteropus lylei,M,490.4,13,Choden et al. 2019,NA,NA,NA,NA,NA,NA,NA,152.3,12,Choden et al. 2019
Chiroptera,Pteropodidae,Pteropus,lylei,Pteropus lylei,F,430,1,Choden et al. 2019,NA,NA,NA,NA,NA,NA,NA,149.4,1,Choden et al. 2019
Chiroptera,Pteropodidae,Pteropus,mariannus,Pteropus mariannus,M,513.2,8,Perez 1972,NA,NA,NA,NA,NA,NA,NA,146.7,8,Perez 1972
Chiroptera,Pteropodidae,Pteropus,mariannus,Pteropus mariannus,F,412.5,10,Perez 1972,NA,NA,NA,NA,NA,NA,NA,141.3,10,Perez 1972
Chiroptera,Pteropodidae,Pteropus,melanopogon,Pteropus melanopogon,M,764,3 (range=510-900),Tsang 2015,NA,NA,NA,NA,NA,NA,NA,196.5,6,Tsang 2015
Chiroptera,Pteropodidae,Pteropus,melanotus,Pteropus melanotus,M,395.6,12,Hall et al. 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,niger,Pteropus niger,F,474.43,4 (range=380-520),Cheke and Dahl 1981,NA,NA,NA,NA,NA,NA,NA,152,4,Cheke and Dahl 1981
Chiroptera,Pteropodidae,Pteropus,ocularis,Pteropus ocularis,M,400,1,Tsang 2015 (Dissertation),NA,68.89,1,Tsang 2015 (Dissertation),26.29,1,Tsang 2015 (Dissertation),144,1,Tsang 2015 (Dissertation)
Chiroptera,Pteropodidae,Pteropus,pelewensis,Pteropus pelewensis,M,268.1,31,Wiles et al. 1997,NA,NA,NA,NA,23.9,66,Wiles et al. 1997,120.5,66,Wiles et al. 1997
Chiroptera,Pteropodidae,Pteropus,pelewensis,Pteropus pelewensis,F,246.2,18,Wiles et al. 1997,NA,NA,NA,NA,23.6,60,Wiles et al. 1997,119.7,60,Wiles et al. 1997
Chiroptera,Pteropodidae,Pteropus,personatus,Pteropus personatus,M,114.88,12,Wiles et al. 1997,NA,42.78,12,Wiantoro and Maryanto 2016,21.25,12,Wiantoro and Maryanto 2016,91.3,12,Wiantoro and Maryanto 2016
Chiroptera,Pteropodidae,Pteropus,personatus,Pteropus personatus,F,141,12,Wiantoro and Maryanto 2016,NA,45.07,12,Wiantoro and Maryanto 2016,24.41,12,Wiantoro and Maryanto 2016,94.22,12,Wiantoro and Maryanto 2016
Chiroptera,Pteropodidae,Pteropus,pselaphon,Pteropus pselaphon,M,491.88,17 (SE=34.11; Range=400-616),Wiantoro and Maryanto 2016,NA,NA,NA,NA,NA,NA,NA,137.76,17,Sugita and Ueda 2014
Chiroptera,Pteropodidae,Pteropus,pselaphon,Pteropus pselaphon,F,485.66,6 (SE=75.71; Range=363-580),Sugita and Ueda 2014,NA,NA,NA,NA,NA,NA,NA,138.4,6,Sugita and Ueda 2014
Chiroptera,Pteropodidae,Pteropus,rufus,Pteropus rufus,M,670.37778,131,Brook et al. 2019,NA,81.03733,,Brook et al. 2019,28.77081,131,Brook et al. 2019,162.44822,131,Brook et al. 2019
Chiroptera,Pteropodidae,Pteropus,rufus,Pteropus rufus,F,565.84496,121,Brook et al. 2019,NA,78.60846,,Brook et al. 2019,29.22946,121,Brook et al. 2019,167.47704,121,Brook et al. 2019
Chiroptera,Pteropodidae,Pteropus,ualanus,Pteropus ualanus,M,NA,NA,NA,NA,NA,NA,NA,23.4,1,Harvard University Museum of Comparative Zoology 1910,130,1,Harvard University Museum of Comparative Zoology 1910
Chiroptera,Pteropodidae,Pteropus,ualanus,Pteropus ualanus,M,NA,NA,NA,NA,NA,NA,NA,24,1,Harvard University Museum of Comparative Zoology 1910,126,1,Harvard University Museum of Comparative Zoology 1910
Chiroptera,Pteropodidae,Pteropus,vampyrus,Pteropus vampyrus,M,1027.54,NA,Tsang 2015,NA,103.556667,3,Tsang 2015,40.05875,3,Tsang 2015,238.666667,3,Tsang 2015
Chiroptera,Pteropodidae,Pteropus,vampyrus,Pteropus vampyrus,F,1027.54,NA,Tsang 2015,NA,92.575,2,Tsang 2015,41.14333333,2,Tsang 2015,190,2,Tsang 2015
Chiroptera,Pteropodidae,Pteropus,voeltzkowi,Pteropus voeltzkowi,M,542.4,NA,Bergmans 1990,NA,NA,NA,NA,26.6666667,3,Bergmans 1990,156.05,6,Bergmans 1990
Chiroptera,Pteropodidae,Pteropus,voeltzkowi,Pteropus voeltzkowi,F,542.4,NA,Bergmans 1990,NA,NA,NA,NA,27,3,Bergmans 1990,152,5,Bergmans 1990
Chiroptera,Pteropodidae,Pteropus,woodfordi,Pteropus woodfordi,M,122.67,NA,"Bergmans 2001, Sanborn 1947",NA,NA,NA,NA,NA,NA,NA,93.2,1,"Bergmans 2001, Sanborn 1947"
Chiroptera,Pteropodidae,Boneia,bidens,Boneia bidens,M,NA,NA,NA,NA,50,1,Jentinks 1879,23,1,Jentinks 1879,97.9,5,Bergmans and Rozendaal 1988
Chiroptera,Pteropodidae,Boneia,bidens,Boneia bidens,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,6,Bergmans and Rozendaal 1988
Chiroptera,Pteropodidae,Stenonycteris,lanosus,Stenonycteris lanosus,F,104.78,NA,Thorn and Peterhans 2009,NA,NA,NA,NA,23,2,Thorn and Peterhans 2009,88.5,2,Thorn and Peterhans 2009
Chiroptera,Pteropodidae,Rousettus,leschenaultii,Stenonycteris lanosus,M,84.88,NA,Shahbaz et al. 2020,NA,38.9,9,Shahbaz et al. 2020,19.77,9,Shahbaz et al. 2020,79.14,9,Shahbaz et al. 2020
Chiroptera,Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,F,84.88,NA,Shahbaz et al. 2020,NA,35.08,6,Shahbaz et al. 2020,16,6,Shahbaz et al. 2020,75.33,6,Shahbaz et al. 2020
Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,M,92.32,NA,Maryanto 2003,NA,NA,NA,NA,NA,NA,NA,88.7,1,Maryanto 2003
Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,F,92.32,NA,Maryanto 2003,NA,NA,NA,NA,NA,NA,NA,84.95,3,Maryanto 2003
Chiroptera,Pteropodidae,Casinycteris,ophiodon,Casinycteris ophiodon,M,69.42,NA,Bergmans 1990,NA,NA,NA,Bergmans 1990,21.8,4,Bergmans 1990,76.4166667,6,Bergmans 1990
Chiroptera,Pteropodidae,Casinycteris,ophiodon,Casinycteris ophiodon,F,69.42,NA,Bergmans 1990,NA,NA,NA,Bergmans 1990,22.4333333,6,Bergmans 1990,78.4714286,7,Bergmans 1990
Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,M,21.3,NA,Bergmans 1990,NA,NA,NA,NA,NA,NA,NA,51.1,13,Bergmans 1990
Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,F,21.3,NA,Bergmans 1990,NA,NA,NA,NA,NA,NA,NA,52.2,10,Bergmans 1990
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,NA,NA,NA,16.48,7,Tingga and Abdullah 2012,10.4,7,Tingga and Abdullah 2012,43.68,7,Tingga and Abdullah 2012
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,NA,NA,NA,14.66,4,Tingga and Abdullah 2012,10.87,4,Tingga and Abdullah 2012,43.15,4,Tingga and Abdullah 2012
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,NA,NA,NA,15.28,2,Tingga and Abdullah 2012,10.36,2,Tingga and Abdullah 2012,38.11,2,Tingga and Abdullah 2012
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,NA,NA,NA,15.57,3,Tingga and Abdullah 2012,NA,NA,Tingga and Abdullah 2012,43.53,3,Tingga and Abdullah 2012
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,NA,NA,NA,15.48,6,Tingga and Abdullah 2012,NA,NA,Tingga and Abdullah 2012,42.92,6,Tingga and Abdullah 2012
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,NA,NA,NA,15.12,7,Tingga and Abdullah 2012,10.26,7,Tingga and Abdullah 2012,44.05,7,Tingga and Abdullah 2012
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,NA,NA,NA,15.82,16,Tingga and Abdullah 2012,10.72,16,Tingga and Abdullah 2012,43.76,16,Tingga and Abdullah 2012
